,State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
2785,Arunachal Pradesh,CHANGLANG,Maize,2001,Kharif,985.0,Hectare,1473.0,Tonnes,1.4954314720812183
2786,Arunachal Pradesh,CHANGLANG,Maize,2002,Kharif,915.0,Hectare,1373.0,Tonnes,1.5005464480874318
2787,Arunachal Pradesh,CHANGLANG,Maize,2003,Kharif,918.0,Hectare,1432.0,Tonnes,1.5599128540305012
2788,Arunachal Pradesh,DIBANG VALLEY,Maize,2001,Kharif,2550.0,Hectare,3050.0,Tonnes,1.196078431372549
2789,Arunachal Pradesh,DIBANG VALLEY,Maize,2002,Kharif,936.0,Hectare,389.0,Tonnes,0.4155982905982906
2790,Arunachal Pradesh,DIBANG VALLEY,Maize,2003,Kharif,950.0,Hectare,1045.0,Tonnes,1.1
2791,Arunachal Pradesh,EAST KAMENG,Maize,2001,Kharif,2750.0,Hectare,5300.0,Tonnes,1.9272727272727272
2792,Arunachal Pradesh,EAST KAMENG,Maize,2002,Kharif,1830.0,Hectare,3200.0,Tonnes,1.7486338797814207
2793,Arunachal Pradesh,EAST KAMENG,Maize,2003,Kharif,2010.0,Hectare,2697.0,Tonnes,1.3417910447761194
2794,Arunachal Pradesh,EAST SIANG,Maize,2001,Kharif,800.0,Hectare,1000.0,Tonnes,1.25
2795,Arunachal Pradesh,EAST SIANG,Maize,2002,Kharif,2760.0,Hectare,5330.0,Tonnes,1.931159420289855
2796,Arunachal Pradesh,EAST SIANG,Maize,2003,Kharif,2718.0,Hectare,5350.0,Tonnes,1.9683590875643855
2797,Arunachal Pradesh,KURUNG KUMEY,Maize,2002,Kharif,1450.0,Hectare,1840.0,Tonnes,1.2689655172413794
2798,Arunachal Pradesh,KURUNG KUMEY,Maize,2003,Kharif,1350.0,Hectare,1714.0,Tonnes,1.2696296296296297
2799,Arunachal Pradesh,LOHIT,Maize,2001,Kharif,5800.0,Hectare,8120.0,Tonnes,1.4
2800,Arunachal Pradesh,LOHIT,Maize,2002,Kharif,9041.0,Hectare,10126.0,Tonnes,1.120008848578697
2801,Arunachal Pradesh,LOHIT,Maize,2003,Kharif,9058.0,Hectare,9964.0,Tonnes,1.1000220799293443
2802,Arunachal Pradesh,LOWER DIBANG VALLEY,Maize,2002,Kharif,5400.0,Hectare,8910.0,Tonnes,1.65
2803,Arunachal Pradesh,LOWER DIBANG VALLEY,Maize,2003,Kharif,5450.0,Hectare,9810.0,Tonnes,1.8
2804,Arunachal Pradesh,LOWER SUBANSIRI,Maize,2001,Kharif,1000.0,Hectare,1750.0,Tonnes,1.75
2805,Arunachal Pradesh,LOWER SUBANSIRI,Maize,2002,Kharif,3380.0,Hectare,4307.0,Tonnes,1.274260355029586
2806,Arunachal Pradesh,LOWER SUBANSIRI,Maize,2003,Kharif,1451.0,Hectare,1836.0,Tonnes,1.2653342522398343
2807,Arunachal Pradesh,PAPUM PARE,Maize,2001,Kharif,2145.0,Hectare,2591.0,Tonnes,1.207925407925408
2808,Arunachal Pradesh,PAPUM PARE,Maize,2002,Kharif,2240.0,Hectare,2700.0,Tonnes,1.2053571428571428
2809,Arunachal Pradesh,PAPUM PARE,Maize,2003,Kharif,2093.0,Hectare,2833.0,Tonnes,1.3535594839942666
2810,Arunachal Pradesh,TAWANG,Maize,2001,Kharif,875.0,Hectare,1640.0,Tonnes,1.8742857142857143
2811,Arunachal Pradesh,TAWANG,Maize,2002,Kharif,880.0,Hectare,1654.0,Tonnes,1.8795454545454544
2812,Arunachal Pradesh,TAWANG,Maize,2003,Kharif,885.0,Hectare,1682.0,Tonnes,1.9005649717514124
2813,Arunachal Pradesh,TIRAP,Maize,2001,Kharif,1730.0,Hectare,3079.0,Tonnes,1.7797687861271676
2814,Arunachal Pradesh,TIRAP,Maize,2002,Kharif,2738.0,Hectare,3307.0,Tonnes,1.2078159240321402
2815,Arunachal Pradesh,TIRAP,Maize,2003,Kharif,2737.0,Hectare,3310.0,Tonnes,1.2093533065400073
2816,Arunachal Pradesh,UPPER SIANG,Maize,2001,Kharif,8230.0,Hectare,9299.0,Tonnes,1.1298906439854193
2817,Arunachal Pradesh,UPPER SIANG,Maize,2002,Kharif,950.0,Hectare,1100.0,Tonnes,1.1578947368421053
2818,Arunachal Pradesh,UPPER SIANG,Maize,2003,Kharif,950.0,Hectare,1100.0,Tonnes,1.1578947368421053
2819,Arunachal Pradesh,UPPER SUBANSIRI,Maize,2001,Kharif,4500.0,Hectare,5700.0,Tonnes,1.2666666666666666
2820,Arunachal Pradesh,UPPER SUBANSIRI,Maize,2002,Kharif,1025.0,Hectare,1942.0,Tonnes,1.894634146341463
2821,Arunachal Pradesh,UPPER SUBANSIRI,Maize,2003,Kharif,1030.0,Hectare,1947.0,Tonnes,1.8902912621359225
