"crop","sum","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Rice","15.3585631973805295","Himachal Pradesh",2005,"147.8","222.9","143.3","35.2","52.4","52.6","317.2","114.2","156.3","1.8","0.3","4.5","1248.5","31.81676","77.34931999999998"
"Moong(Green Gram)","11.6181184628731072","Tamil Nadu",2007,"7.2","7.5","1.8","58","44.9","73.1","101","136.5","89.1","248.9","79.2","219.9","1067.1","10.90943","78.36653000000003"
"Urad","10.8858763579269895","Uttarakhand",2008,"55.6","11.7","18.1","93","67.3","332.4","313.3","245.8","190.8","23.1","11.9","0.6","1363.5999999999997","30.04174","79.08969"
"Moong(Green Gram)","9.0826797384444445","Punjab",2015,"17.7","31.3","68.5","29.8","16.7","48.3","130.2","88.6","69.2","9","0.8","0.7","510.8","30.92932","75.50048000000002"
"Rice","12.5527341218455942","Arunachal Pradesh",1998,"26.7","78.8","193.6","125","275","839.8","823.8","807","236.8","187.2","20.5","2.5","3616.7","28.093770000000006","94.59213"
"Maize","26.4275333884546324","Chhattisgarh",2007,"0","15.7","6.2","11.4","10.4","259.4","309.9","338.8","259.1","67.8","2","0.5","1281.2","21.66374","81.84064000000002"
"Moong(Green Gram)","11.1067912942975573","Tamil Nadu",2002,"2.9","22.1","3.9","9.2","32.6","23.7","11.8","26.5","32.2","93.7","47.2","12.2","317.99999999999994","10.90943","78.36653000000003"
"Rice","32.0260114530280405","Uttarakhand",2014,"45.9","99.9","68.4","37.6","52.9","62.9","462.7","264.2","107.9","40.8","0","44.3","1287.5","30.04174","79.08969"
"Rice","74.9841421952732335","Punjab",2011,"3.5","35.6","8.2","17.8","18.9","162.9","120.9","193.5","140.2","0","1","2.6","705.1","30.92932","75.50048000000002"
"Maize","30.5610217220966061","Jharkhand",2003,"3.3","30.5","33.6","17.9","21.5","152.4","247.5","245.1","224","255.5","6.2","7.4","1244.9000000000003","23.45598","85.25573"
"Rice","97.7584285037288310","Kerala",2016,"3","16.4","22.4","33.3","258.4","595.7","441.5","231","84.1","105.1","57.9","22","1870.8","10.35287","76.51204"
"Maize","63.4125574434218121","Chhattisgarh",2016,"6.1","3.6","24.5","4.4","19.6","164.2","361","357.1","295.6","79.8","0","0","1315.9","21.66374","81.84064000000002"
"Urad","41.9716658677362359","Telangana",2016,"1.2","0.2","11.5","4.3","55.1","194","235.8","133.7","336.3","70.4","0.5","0.4","1043.4","17.84959","79.11516999999998"
"Rice","37.3466551938909871","Jharkhand",2002,"9","5.4","10.7","11.5","38.7","184.9","186.8","277.4","253.4","55","1.3","0.8","1034.9","23.45598","85.25573"
"Urad","25.4261537628536013","Bihar",2008,"25.6","4.4","3.2","10.4","48.9","291.2","397.2","278.1","117.1","21.4","0.1","0","1197.6","25.64408","85.90651"
"Moong(Green Gram)","10.1333333333333332","Punjab",2014,"21.8","20.1","30.3","24.5","20.8","20.6","76.3","41.9","105.8","6","0.7","14.1","382.9","30.92932","75.50048000000002"
"Urad","1.9444444444444444","Punjab",2011,"3.5","35.6","8.2","17.8","18.9","162.9","120.9","193.5","140.2","0","1","2.6","705.1","30.92932","75.50048000000002"
"Urad","4.4773809523809524","Punjab",2003,"10.6","56.4","19.4","3","3.9","40.7","136.7","94.7","52.2","0","2.2","5","424.8","30.92932","75.50048000000002"
"Rice","100.4239876950209357","Bihar",2007,"0.2","34.2","25.4","20.3","94.4","170.4","549.4","340.6","309","39.6","9.1","7.5","1600.1","25.64408","85.90651"
"Rice","79.3606157167242936","Punjab",2007,"1.2","68.8","48.2","10","5.9","64.4","95.1","215.4","73.7","0.6","0.9","10.6","594.8000000000002","30.92932","75.50048000000002"
"Urad","25.0086657960913440","Jharkhand",2015,"12.2","2.6","21.6","55.5","25.5","183.3","429.7","240.7","85.1","22.7","0.2","2.7","1081.8000000000004","23.45598","85.25573"
"Maize","24.8625830065746207","Arunachal Pradesh",2011,"40","51.3","174.5","240.8","219.6","288.4","531.4","277.6","286.7","51.9","16.2","15.2","2193.5999999999995","28.093770000000006","94.59213"
"Rice","25.9286878121405336","Jharkhand",2009,"1.8","0.8","2","0.8","78.1","62.7","266.6","248","248.8","82.2","4","0.5","996.3","23.45598","85.25573"
"Urad","12.8993430112413567","Chhattisgarh",2011,"0.3","11.5","2.6","35","16.8","183.5","272.6","379.8","382.2","15.5","0","2.8","1302.6","21.66374","81.84064000000002"
"Urad","3.4166666666666667","Punjab",2016,"6.5","6","34.6","0.8","24.8","52.6","153.1","144.8","17.4","1.9","0.5","1.1","444.1","30.92932","75.50048000000002"
"Maize","25.7680917007575547","Jharkhand",2008,"19.4","3.6","6.2","10.7","42.9","366.3","377.9","310.5","152.9","34","1","0","1325.4","23.45598","85.25573"
"Moong(Green Gram)","11.2441840594280234","Tamil Nadu",2001,"21.8","10.9","13","93.8","45","39.9","37.2","18.7","53.8","69.5","52.3","27.6","483.50000000000006","10.90943","78.36653000000003"
"Urad","5.8033392428705330","Himachal Pradesh",2016,"18.7","38.4","114.4","47.5","70.2","101.3","194","272.7","56.8","5.3","0","2.2","921.5","31.81676","77.34931999999998"
"Moong(Green Gram)","11.0084639649390585","Tamil Nadu",2003,"0.3","4.1","18","17.1","19.8","22.5","38.7","49.3","26.1","86","59.5","7.1","348.5","10.90943","78.36653000000003"
"Urad","5.9389181170329889","Himachal Pradesh",2013,"79.9","182.6","76.6","28.9","32.6","233.6","208.8","240","65.8","21.8","16.6","24.8","1211.9999999999998","31.81676","77.34931999999998"
"Moong(Green Gram)","2.0388624888624887","Himachal Pradesh",1999,"109.2","54.3","33.4","7.1","98.3","104.7","304.1","284.6","111.4","6.4","28.9","2.5","1144.9000000000003","31.81676","77.34931999999998"
"Maize","298.9771560059658537","Telangana",2016,"1.2","0.2","11.5","4.3","55.1","194","235.8","133.7","336.3","70.4","0.5","0.4","1043.4","17.84959","79.11516999999998"
"Maize","28.4953154666613310","Uttarakhand",2004,"58.5","11.7","0","51.5","66","130.7","400.9","326.3","96.8","70.7","0.8","5.7","1219.6","30.04174","79.08969"
"Urad","26.2349609676040295","Bihar",2016,"9.3","0.6","5.6","3.9","84","128.7","356.4","150.8","357.9","60.8","0","0","1157.9999999999998","25.64408","85.90651"
"Rice","59.7960408381784215","Punjab",2001,"8","2.1","6.2","24.5","36.9","93.8","173.9","69.5","19.9","1.5","0.9","3.8","441","30.92932","75.50048000000002"
"Maize","23.4074850186097132","Arunachal Pradesh",2007,"13.4","97.4","48.1","292.4","250.4","530.2","761","364.6","529.3","102.6","24.3","6.9","3020.6000000000013","28.093770000000006","94.59213"
"Maize","19.3747424628000939","Uttarakhand",2002,"53.8","123.2","100","76.3","82.3","139.6","205.7","465.4","301.3","19.9","3","4.2","1574.7000000000005","30.04174","79.08969"
"Maize","4.7129188306870456","Kerala",2017,"12.7","0.3","87.8","52.8","213.3","579.8","378.5","462.6","435.5","228","152.1","61.4","2664.8","10.35287","76.51204"
"Rice","106.8578260045495969","Bihar",2010,"0.1","1.1","0.2","6.5","44.4","80.9","191.2","158.4","105.7","33.6","5","2.1","629.2","25.64408","85.90651"
"Rice","29.8587044183547342","Jharkhand",2015,"12.2","2.6","21.6","55.5","25.5","183.3","429.7","240.7","85.1","22.7","0.2","2.7","1081.8000000000004","23.45598","85.25573"
"Urad","7.6119727711296094","Himachal Pradesh",2011,"43.9","97.4","49.7","62.4","45.1","118.3","177.7","380.2","120.3","6","0.3","6.9","1108.2","31.81676","77.34931999999998"
"Rice","99.0369586637753208","Kerala",2012,"7.4","11","21","171.1","95.3","430.3","362.6","501.6","241.1","187.5","112.9","9.4","2151.2000000000007","10.35287","76.51204"
"Rice","83.9817479970817963","Tamil Nadu",2005,"4.1","11.1","24.4","128","80.6","35.7","87.9","93.3","117.9","280.5","353.4","148.5","1365.4","10.90943","78.36653000000003"
"Urad","27.7629052133898209","Bihar",2005,"13.9","14.3","12.1","7.7","28.6","82.5","300","309.1","105.1","34.3","0","0.2","907.8","25.64408","85.90651"
"Maize","459.5645294556846739","Bihar",2016,"9.3","0.6","5.6","3.9","84","128.7","356.4","150.8","357.9","60.8","0","0","1157.9999999999998","25.64408","85.90651"
"Moong(Green Gram)","4.0333333333333333","Uttarakhand",2014,"45.9","99.9","68.4","37.6","52.9","62.9","462.7","264.2","107.9","40.8","0","44.3","1287.5","30.04174","79.08969"
"Maize","23.7977778977385785","Himachal Pradesh",2014,"69.6","124.9","125.2","60.6","68.9","51.7","203.6","146.7","84.6","19.3","4.5","49.3","1008.9","31.81676","77.34931999999998"
"Rice","79.7119379910456009","Punjab",2008,"12","4.1","0","19.7","40.6","155.5","101.9","312.2","59.8","9.9","0.6","0.9","717.1999999999997","30.92932","75.50048000000002"
"Moong(Green Gram)","10.6023680997365208","Punjab",2003,"10.6","56.4","19.4","3","3.9","40.7","136.7","94.7","52.2","0","2.2","5","424.8","30.92932","75.50048000000002"
"Rice","139.5450532553050538","Bihar",2001,"1","0.5","3","12.6","98.4","224.4","224.7","225.9","274.8","181.3","0.5","0","1247.1","25.64408","85.90651"
"Maize","1.06779661","Kerala",2012,"7.4","11","21","171.1","95.3","430.3","362.6","501.6","241.1","187.5","112.9","9.4","2151.2000000000007","10.35287","76.51204"
"Moong(Green Gram)","3.3466040424715944","Himachal Pradesh",2011,"43.9","97.4","49.7","62.4","45.1","118.3","177.7","380.2","120.3","6","0.3","6.9","1108.2","31.81676","77.34931999999998"
"Maize","84.4425843974265115","Jharkhand",2017,"5.1","0.1","4.5","6.1","55.9","116","492.1","246","134","103.4","2.3","0.2","1165.7","23.45598","85.25573"
"Urad","13.6391049723807099","Tamil Nadu",1998,"6.9","5.7","4.1","23.6","55.8","43","101.9","152.9","121.8","124.7","242","197.4","1079.8","10.90943","78.36653000000003"
"Rice","126.6486404944939475","Bihar",2002,"13.4","11.3","2.2","25","74.8","116.6","386.1","247.7","192.8","33.8","1.4","0.7","1105.8000000000004","25.64408","85.90651"
"Rice","30.6264225404891180","Chhattisgarh",2010,"7.9","4.9","1","5.9","12.6","102.6","426.8","340.3","302.5","54.3","20.2","27.6","1306.6","21.66374","81.84064000000002"
