"crop","yield","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Maize","1.4954314720812183","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","1.5005464480874318","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.5599128540305012","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.196078431372549","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","0.4155982905982906","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.1","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.9272727272727272","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","1.7486338797814207","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.3417910447761194","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.25","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","1.931159420289855","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.9683590875643855","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.2689655172413794","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.2696296296296297","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.4","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","1.120008848578697","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.1000220799293443","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.65","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.8","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.75","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Maize","1.274260355029586","Arunachal Pradesh",2002,"74.2","37.2","126.3","248.2","197.1","396.8","604","290.7","257.9","94","45","17.9","2389.3","28.093770000000006","94.59213"
"Maize","1.2653342522398343","Arunachal Pradesh",2003,"22.9","83.2","109.6","182","173.5","424.3","645.3","327.2","259.9","182.6","25","16.2","2451.7","28.093770000000006","94.59213"
"Maize","1.207925407925408","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
